id,tweet
1, @user when a father is dysfunctional and is so selfish he drags his kids into his dysfunction.   #run
2,@user @user thanks for #lyft credit i can't use cause they don't offer wheelchair vans in pdx.    #disapointed #getthanked
3,  bihday your majesty
4,#model   i love u take with u all the time in ur?ø?????ñ!!! ?ø???????ø???????ø???????ø???????ø???????ø???????ø??????  
5, factsguide: society now    #motivation
6,[2/2] huge fan fare and big talking before they leave. chaos and pay disputes when they get there. #allshowandnogo  
7, @user camping tomorrow @user @user @user @user @user @user @user danny?›????
8,the next school year is the year for exams.?ø?????? can't think about that ?ø?????? #school #exams   #hate #imagine #actorslife #revolutionschool #girl
9,we won!!! love the land!!! #allin #cavs #champions #cleveland #clevelandcavaliers  ?›???? 
10, @user @user welcome here !  i'm   it's so #gr8 ! 
11, ?›??? #ireland consumer price index (mom) climbed from previous 0.2% to 0.5% in may   #blog #silver #gold #forex
12,we are so selfish. #orlando #standwithorlando #pulseshooting #orlandoshooting #biggerproblems #selfish #heabreaking   #values #love #
13,i get to see my daddy today!!   #80days #gettingfed
16,ouch...junior is angry?ø?????#got7 #junior #yugyoem   #omg 
17,i am thankful for having a paner. #thankful #positive     
19,its #friday! ?ø?????? smiles all around via ig user: @user #cookies make people   
20,"as we all know, essential oils are not made of chemicals. "
21,#euro2016 people blaming ha for conceded goal was it fat rooney who gave away free kick knowing bale can hit them from there.  
22,sad little dude..   #badday #coneofshame #cats #pissed #funny #laughs 
23,product of the day: happy man #wine tool  who's   it's the #weekend? time to open up &amp; drink up!
25, @user #tgif   #ff to my #gamedev #indiedev #indiegamedev #squad! @user @user @user @user @user
26,beautiful sign by vendor 80 for $45.00!! #upsideofflorida #shopalyssas   #love 
27, @user all #smiles when #media is   !! ?ø???????ø?????? #pressconference in #antalya #turkey ! sunday #throwback  love! ?ø???????ø???????›???????? 
28,we had a great panel on the mediatization of the public service   #ica16
29,happy father's day @user ?ø???????ø???????ø???????ø??????  
30,50 people went to nightclub to have a good night and 1 man's actions means those people are lost to their families forever #rip#orlando
31,i have never had a chance to vote for a presidential candidate i was excited about and this cycle looks to be no different.  
32,  #alohafriday #time does #not #exist #positivevibes #hawaiian @user @user @user @user 
33," @user rip to the fellow nohern ireland fan who sadley passed away tonight!.. gawa, forever singing and cheering on fire  "
34,it was a hard monday due to cloudy weather. disabling oxygen production for today. #goodnight #badmonday  
36,#taylorswift1989   bull up: you will dominate your bull and you will direct it whatever you want it to do. w 
37,morning~~ #travelingram #dalat   #ripinkylife 
38,@user once more only one word tells it all: #photoshop.  #enoughisenough #dontphotoshopeverything #wheresallthenaturalphotos  
39,"oh, #cedarpoint. waited 2 hours in the valravn line and it stopped working. we were so close.  "
40,i am thankful for sunshine. #thankful #positive     
41,when you finally finish a book you've been working on for awhile...  #bookworm #ontothenextnovel 
